id,name,tagline,description,votesCount,topics,created_dt,url,host
400186,Olvy 2.0,Analyze user feedback 10x faster with AI,"Do you also spend hours organizing and analyzing feedback? There's a better way. Olvy integrates with your Slack, Zendesk, Intercom, Hubspot, and everywhere your users are to bring all your user feedback in one place and analyze it all using AI 🪄",918,"Productivity,Customer Communication,SaaS,Artificial Intelligence",2023-06-19,https://olvy.co/,olvy.co
400393,Typefully 2.0,"Effortlessly publish on Twitter and LinkedIn, now with AI","We've worked hard on the new version of Typefully, which is now used by more than 100,000 creators. Rewrite and improve your content with AI. Cross-post to LinkedIn. Become more productive with a Command Bar. Download the Mac app. And much much more...",907,"Mac,Twitter,Social Media",2023-06-20,https://typefully.com,typefully.com
399747,zScout by Zintlr,Prospect your next customer,"zScout is an unlimited prospecting tool to find contact info like email, phone, socials, About, keywords across the web, of your next customers. Free unlimited bundle for signups via PH today! Generate max leads! (Signup is free) zScout is tool by Zintlr",797,"Sales,Email Marketing,Marketing",2023-06-22,https://zintlr.com/zscout,zintlr.com
400649,Avaturn,Turn your selfie into realistic 3D gaming avatar,"Turn your selfies into a realistic, playable 3D game characters. Upgrade your gaming experience with life-like, customizable avatars. Create, animate, and export your avatars with our online editor or directly integrate them into your game with our SDK.",709,"Artificial Intelligence,Games,3D Modeling",2023-06-22,https://avaturn.me/,avaturn.me
400212,Upword 2.0,Your new AI research assistant with superpowers,"Game-changing online research tool for knowledge workers: Introducing version 2.0 with advanced AI features: 1. Process multiple documents at once 2. AI research copilot (ChatGPT for research) 3. Organize your content and summaries, listen and share",657,"Productivity,SaaS,Artificial Intelligence",2023-06-22,http://upword.ai,upword.ai
397261,ClassPoint,Turn your deck into engaging presentations in seconds,"We’re transforming traditional PowerPoints into audience-focused productive presentations. With effective whiteboard tools, audience polls, and AI-generated questions, you can capture interest, crowdsource questions & ideas, and reinforce training objectives.",647,"Productivity,Education,Meetings",2023-06-19,https://www.classpoint.io/download,classpoint.io
400382,ClearFeed,Convert multiple Slack channels into a shared Inbox,"Tired of keeping track of requests across Slack channels? With ClearFeed, you can: ✔ manage a shared queue of requests across channels ✔ respond within SLAs ✔ convert requests to tickets/issues ✔ broadcast messages across channels and more.",646,"Slack,Productivity,Customer Success,Customer Communication",2023-06-21,https://clearfeed.ai/,clearfeed.ai
400051,ClickUp AI,The first AI-powered assistant tailored to your work,"Work faster, write smarter, and ignite your creativity with ClickUp AI. Draft documents, summarize text, generate ideas, and fast-track any project with hundreds of expert-crafted tools right within ClickUp.",618,"Productivity,Artificial Intelligence",2023-06-21,https://clickup.com/features/ai,clickup.com
399699,Codesphere,"Deploy anything in under 5s, no DevOps experience needed","Efficient collaboration, trivial deployments and global scaling in one platform. Check out your code, then run it directly from our Cloud IDE. As easy as serverless on Vercel without the limitations. Explore the docs: https://docs.codesphere.com/",591,"Productivity,Developer Tools",2023-06-20,https://welcome.codesphere.com,welcome.codesphere.com
399602,Rasayel,"WhatsApp business messaging, automation, chatbot & broadcast","Rasayel is a business communication platform for sales, service, and customer engagement over WhatsApp. Close more deals and cut support time in half using Rasayel's robust automations, chatbot builder, shared team inbox, mass broadcasts, and analytics.",581,"Messaging,Sales,Customer Communication",2023-06-20,https://www.rasayel.io,rasayel.io
399742,Mobula,"DeFi trading app, zero fees, all chains, best price","Begin a new chapter with Mobula’s DeFi Trading App. Wave goodbye to unnecessary fees (0% from Mobula), welcome all chains and secure the best prices. Uncover the simplicity of DeFi with our intuitive dashboard.",559,"Money,Finance",2023-06-19,https://mobula.fi/trade,mobula.fi
400597,Campsite,Get better design feedback and keep everyone in the loop,"Campsite helps you get better design feedback and keep everyone at your company in the loop. Share and collaborate with images, videos, Figma, Loom, Lottie, Origami, and much more. Free for small teams.",555,"Design Tools,Productivity,Design",2023-06-20,https://campsite.design,campsite.design
400898,Pines,A beautiful UI library for Alpine and Tailwind,"Pines is a library of animations, sliders, tooltips, accordions, modals, and more! It's a set of UI elements that can be copy and pasted into any Alpine and Tailwind projects.",537,"Design Tools,Developer Tools",2023-06-22,https://devdojo.com/pines,devdojo.com
400595,Noor Beta,Time to replace Slack,"Noor is the chat app for teams who want to ship cool things together. Slack has been primarily serving large enterprises and doesn't care about building high quality software. Noor is a native app, focused on simplicity, teamwork and speed.",524,"Productivity,Messaging,Meetings",2023-06-21,https://noor.to,noor.to
400779,Reditus,B2B-SaaS affiliate marketplace: your growth catalyst,"Unlock your growth potential for your B2B SaaS. With our 50+ affiliate programs and a fast-growing network of affiliates. We're your gateway to recurring revenue, dedicated solely to B2B SaaS companies and those passionate about promoting them.",491,"Marketing,SaaS,Affiliate marketing",2023-06-23,https://www.getreditus.com/,getreditus.com
400287,Virtual CMO,Solve any marketing problem in 1 minute,Describe your one-person business and your marketing problem. ChatGPT will handle the rest. 100% Free.,481,"Productivity,Marketing,Artificial Intelligence",2023-06-19,https://founderpal.ai/virtual-cmo,founderpal.ai
399619,Current,Share work-in-progress & get weekly AI powered summaries,"Current increases your team’s visibility on the work happening across the company. Designers, Engineers, and PMs can share work from Figma, Loom, Miro, Notion, Drive, Github, and more. Weekly AI-powered summaries keep the whole team aligned and informed.",418,"Design Tools,Productivity,Artificial Intelligence",2023-06-20,https://current.so/,current.so
